player_id,given_name,family_name,count_tournaments,list_tournaments,list_teams_name,list_teams_code,teams_num,full_name
P-01493,Diego,Milito,1,2010,['Argentina'],['ARG'],1,Diego Milito
P-06326,Gabriel,Milito,1,2006,['Argentina'],['ARG'],1,Gabriel Milito
P-07449,Luka,Milivojević,1,2018,['Serbia'],['SRB'],1,Luka Milivojević
P-02987,Frank,Mill,1,1990,['West Germany'],['DEU'],1,Frank Mill
P-09582,Roger,Milla,3,"1982, 1990, 1994",['Cameroon'],['CMR'],1,Roger Milla
P-05355,Liam,Millar,1,2022,['Canada'],['CAN'],1,Liam Millar
P-03758,Rodrigo,Millar,1,2010,['Chile'],['CHL'],1,Rodrigo Millar
P-07525,Luc,Millecamps,1,1982,['Belgium'],['BEL'],1,Luc Millecamps
P-03824,Marc,Millecamps,1,1982,['Belgium'],['BEL'],1,Marc Millecamps
P-02404,Colin,Miller,1,1986,['Canada'],['CAN'],1,Colin Miller
P-05461,Kamal,Miller,1,2022,['Canada'],['CAN'],1,Kamal Miller
P-07572,Roy,Miller,1,2014,['Costa Rica'],['CRI'],1,Roy Miller
P-08562,Willie,Miller,2,"1982, 1986",['Scotland'],['SCO'],1,Willie Miller
P-08812,Mark,Milligan,4,"2006, 2010, 2014, 2018",['Australia'],['AUS'],1,Mark Milligan
P-06841,Danny,Mills,1,2002,['England'],['ENG'],1,Danny Mills
P-05740,Mick,Mills,1,1982,['England'],['ENG'],1,Mick Mills
P-05487,James,Milner,2,"2010, 2014",['England'],['ENG'],1,James Milner
P-09293,Savo,Milošević,2,"1998, 2006","['Yugoslavia', 'Serbia and Montenegro']","['SCG', 'YUG']",2,Savo Milošević
P-05307,Sima,Milovanov,1,1954,['Yugoslavia'],['YUG'],1,Sima Milovanov
P-00772,not applicable,Miloy,1,2006,['Angola'],['AGO'],1,not applicable Miloy
P-01127,Milorad,Milutinović,1,1958,['Yugoslavia'],['YUG'],1,Milorad Milutinović
P-04520,Miloš,Milutinović,2,"1954, 1958",['Yugoslavia'],['YUG'],1,Miloš Milutinović
P-08845,Byung-dae,Min,1,1954,['South Korea'],['KOR'],1,Byung-dae Min
P-09109,Kim,Min-jae,1,2022,['South Korea'],['KOR'],1,Kim Min-jae
P-08210,Song,Min-kyu,1,2022,['South Korea'],['KOR'],1,Song Min-kyu
P-08447,Yerry,Mina,1,2018,['Colombia'],['COL'],1,Yerry Mina
P-05735,Felipe,Miñambres,1,1994,['Spain'],['ESP'],1,Felipe Miñambres
P-05078,Takumi,Minamino,1,2022,['Japan'],['JPN'],1,Takumi Minamino
P-04391,Mehrdad,Minavand,1,1998,['Iran'],['IRN'],1,Mehrdad Minavand
P-07711,Oswaldo,Minda,1,2014,['Ecuador'],['ECU'],1,Oswaldo Minda
P-04954,not applicable,Mineiro,1,2006,['Brazil'],['BRA'],1,not applicable Mineiro
P-08805,Severino,Minelli,2,"1934, 1938",['Switzerland'],['CHE'],1,Severino Minelli
P-05855,Lorenzo,Minotti,1,1994,['Italy'],['ITA'],1,Lorenzo Minotti
P-04106,Antonis,Minou,1,1994,['Greece'],['GRC'],1,Antonis Minou
P-02726,José,Miracca,1,1930,['Paraguay'],['PRY'],1,José Miracca
P-02016,Kevin,Mirallas,1,2014,['Belgium'],['BEL'],1,Kevin Mirallas
P-09669,Aleksei,Miranchuk,1,2018,['Russia'],['RUS'],1,Aleksei Miranchuk
P-05799,Anton,Miranchuk,1,2018,['Russia'],['RUS'],1,Anton Miranchuk
P-09657,Agustín,Miranda,1,1958,['Paraguay'],['PRY'],1,Agustín Miranda
P-09623,not applicable,Miranda,1,2018,['Brazil'],['BRA'],1,not applicable Miranda
P-09636,not applicable,Mirandinha,1,1974,['Brazil'],['BRA'],1,not applicable Mirandinha
P-05841,Zoran,Mirković,1,1998,['Yugoslavia'],['YUG'],1,Zoran Mirković
P-05113,Ebrahim,Mirzapour,1,2006,['Iran'],['IRN'],1,Ebrahim Mirzapour
P-08586,Zvjezdan,Misimović,1,2014,['Bosnia and Herzegovina'],['BIH'],1,Zvjezdan Misimović
P-00355,Dale,Mitchell,1,1986,['Canada'],['CAN'],1,Dale Mitchell
P-01124,Rajko,Mitić,2,"1950, 1954",['Yugoslavia'],['YUG'],1,Rajko Mitić
P-09497,Vasil,Mitkov,1,1970,['Bulgaria'],['BGR'],1,Vasil Mitkov
P-01107,Kaoru,Mitoma,1,2022,['Japan'],['JPN'],1,Kaoru Mitoma
P-00138,Kostas,Mitroglou,1,2014,['Greece'],['GRC'],1,Kostas Mitroglou
P-07468,Tasos,Mitropoulos,1,1994,['Greece'],['GRC'],1,Tasos Mitropoulos
P-02217,Aleksandar,Mitrović,2,"2018, 2022",['Serbia'],['SRB'],1,Aleksandar Mitrović
P-01679,Stefan,Mitrović,1,2022,['Serbia'],['SRB'],1,Stefan Mitrović
P-06218,Tsuneyasu,Miyamoto,2,"2002, 2006",['Japan'],['JPN'],1,Tsuneyasu Miyamoto
P-08506,Johan,Mjällby,1,2002,['Sweden'],['SWE'],1,Johan Mjällby
P-03854,Mohamed,Mkacher,1,2002,['Tunisia'],['TUN'],1,Mohamed Mkacher
P-02588,Emir,Mkademi,1,2002,['Tunisia'],['TUN'],1,Emir Mkademi
P-03888,Helman,Mkhalele,1,1998,['South Africa'],['ZAF'],1,Helman Mkhalele
P-02238,Stoycho,Mladenov,1,1986,['Bulgaria'],['BGR'],1,Stoycho Mladenov
P-05467,Filip,Mladenović,1,2022,['Serbia'],['SRB'],1,Filip Mladenović
P-04509,Józef,Młynarczyk,2,"1982, 1986",['Poland'],['POL'],1,Józef Młynarczyk
P-08145,Jawhar,Mnari,1,2006,['Tunisia'],['TUN'],1,Jawhar Mnari
P-02558,Thabo,Mngomeni,1,2002,['South Africa'],['ZAF'],1,Thabo Mngomeni
P-05301,Bennett,Mnguni,1,2002,['South Africa'],['ZAF'],1,Bennett Mnguni
P-01408,Themba,Mnguni,1,1998,['South Africa'],['ZAF'],1,Themba Mnguni
P-04856,not applicable,Moacir,1,1958,['Brazil'],['BRA'],1,not applicable Moacir
P-01821,Mihai,Mocanu,1,1970,['Romania'],['ROU'],1,Mihai Mocanu
P-02960,Neil,Mochan,1,1954,['Scotland'],['SCO'],1,Neil Mochan
P-09658,Hans,Mock,1,1938,['Germany'],['DEU'],1,Hans Mock
P-08453,not applicable,Moderato,1,1930,['Brazil'],['BRA'],1,not applicable Moderato
P-03999,Teko,Modise,1,2010,['South Africa'],['ZAF'],1,Teko Modise
P-02212,Luka,Modrić,4,"2006, 2014, 2018, 2022",['Croatia'],['HRV'],1,Luka Modrić
P-07082,Jacques,Moeschal,1,1930,['Belgium'],['BEL'],1,Jacques Moeschal
P-08668,Pavel,Mogilevets,1,2014,['Russia'],['RUS'],1,Pavel Mogilevets
P-00908,Abdulaziz,Mohamed,1,1990,['United Arab Emirates'],['ARE'],1,Abdulaziz Mohamed
P-05880,Abdulrahman,Mohamed,1,1990,['United Arab Emirates'],['ARE'],1,Abdulrahman Mohamed
P-06041,Habib,Mohamed,1,2006,['Ghana'],['GHA'],1,Habib Mohamed
P-07795,Hassan,Mohamed,1,1990,['United Arab Emirates'],['ARE'],1,Hassan Mohamed
P-07191,Munir,Mohamedi,2,"2018, 2022",['Morocco'],['MAR'],1,Munir Mohamedi
P-02063,Ismaeel,Mohammad,1,2022,['Qatar'],['QAT'],1,Ismaeel Mohammad
P-00435,Milad,Mohammadi,2,"2018, 2022",['Iran'],['IRN'],1,Milad Mohammadi
P-05316,Nader,Mohammadkhani,1,1998,['Iran'],['IRN'],1,Nader Mohammadkhani
P-04573,Haris,Mohammed,1,1986,['Iraq'],['IRQ'],1,Haris Mohammed
P-00002,Ismail,Mohammed Sharif,1,1986,['Iraq'],['IRQ'],1,Ismail Mohammed Sharif
P-06263,Sadegh,Moharrami,1,2022,['Iran'],['IRN'],1,Sadegh Moharrami
P-04535,Marwan,Mohsen,1,2018,['Egypt'],['EGY'],1,Marwan Mohsen
P-05612,Johan,Mojica,1,2018,['Colombia'],['COL'],1,Johan Mojica
P-07626,Mahmoud,Mokhtar,1,1934,['Egypt'],['EGY'],1,Mahmoud Mokhtar
P-00605,Aaron,Mokoena,2,"2002, 2010",['South Africa'],['ZAF'],1,Aaron Mokoena
P-08965,Teboho,Mokoena,1,2002,['South Africa'],['ZAF'],1,Teboho Mokoena
P-07236,William,Mokoena,1,1998,['South Africa'],['ZAF'],1,William Mokoena
P-07014,Jaap,Mol,1,1934,['Netherlands'],['NLD'],1,Jaap Mol
P-04089,Jan,Mølby,1,1986,['Denmark'],['DNK'],1,Jan Mølby
